#separator:tab
#html:false
What are the solid organs in the abdominal cavity?	Liver, spleen, pancreas, kidneys, and women (in women).
Liver, spleen, pancreas, kidneys, and women (in women).	What are the solid organs in the abdominal cavity?
What are the hollow organs in the abdominal cavity?	Gallbladder, stomach, small intestine, large intestine, and urinary bladder.
Gallbladder, stomach, small intestine, large intestine, and urinary bladder.	What are the hollow organs in the abdominal cavity?
What does the liver do?	Assists in digestion by secreting bile, filters toxic substances, creates glucose stores, and produces substances necessary for blood clotting and immune functions
Assists in digestion by secreting bile, filters toxic substances, creates glucose stores, and produces substances necessary for blood clotting and immune functions	What does the liver do?
What does the gallbladder do?	Acts as a reservoir for bile.
Acts as a reservoir for bile.	What does the gallbladder do?
What are the three sections of the small intestines?	duodenum, jejunum, ileum
duodenum, jejunum, ileum	What are the three sections of the small intestines?
What does the pancreas do?	Aids digestion by secreting juice that contains enzymes that help break down starches, fats, and protein. Also releases amylase.
Aids digestion by secreting juice that contains enzymes that help break down starches, fats, and protein. Also releases amylase.	What does the pancreas do?
What is amylase?	It is responsible for breaking down starches into sugars and is present in saliva and the duodenum.
It is responsible for breaking down starches into sugars and is present in saliva and the duodenum.	What is amylase?
Where does amylase come from and go into?	It comes from the pancreas and goes into the duodenum.
It comes from the pancreas and goes into the duodenum.	Where does amylase come from and go into?
What is bicarbonate?	It is an alkali and is part of the buffering system that neutraizes stomach acids in the duodenum. It also comes from the pancreas.
It is an alkali and is part of the buffering system that neutraizes stomach acids in the duodenum. It also comes from the pancreas.	What is bicarbonate?
What is insulin?	It regulates the amount of glucose in the bloodstream, and is produced in the pancreas.
It regulates the amount of glucose in the bloodstream, and is produced in the pancreas.	What is insulin?
What is the jejunum?	It is the second part of the small intestine and pays a major role in the absorption of digestive products. It comprises much of the surface area of the small intestine.
It is the second part of the small intestine and pays a major role in the absorption of digestive products. It comprises much of the surface area of the small intestine.	What is the jejunum?
What kind of environment does the jejunum and ileum have?	They have a mostly pH-neutral environment for absorption.
They have a mostly pH-neutral environment for absorption.	What kind of environment does the jejunum and ileum have?
What is the ileum?	The ileum is the third part of the intestine, and is where soluble molecules are absorbed into the blood, and where proteins, fats, and starches are reduced to amino acids, fatty acids, and simple sugars.
The ileum is the third part of the intestine, and is where soluble molecules are absorbed into the blood, and where proteins, fats, and starches are reduced to amino acids, fatty acids, and simple sugars.	What is the ileum?
What is peristalsis?	It is a rhythmic movement that moves waste matter through the intestines.
It is a rhythmic movement that moves waste matter through the intestines.	What is peristalsis?
What is the spleen?	It is located is located in the abdomen but has no digestive function. It is part of the lymphatic system, assists in filtering blood, developing red blood cells and antibodies, and serves as a blood reservoir.
It is located is located in the abdomen but has no digestive function. It is part of the lymphatic system, assists in filtering blood, developing red blood cells and antibodies, and serves as a blood reservoir.	What is the spleen?
What do the kidneys do?	They play an important role in the regulation of acidity and blood pressure, and remove sodium chloride from the body and therefore excess fluid.
They play an important role in the regulation of acidity and blood pressure, and remove sodium chloride from the body and therefore excess fluid.	What do the kidneys do?
How much of the output of blood from the heart passes through the kidneys each minute?	Nearly 20% of the heart's output passes through them.
Nearly 20% of the heart's output passes through them.	How much of the output of blood from the heart passes through the kidneys each minute?
What is the renal pelvis?	It is a cone-shaped collecting area that connects the ureter and the kidney.
It is a cone-shaped collecting area that connects the ureter and the kidney.	What is the renal pelvis?
Where is the urinary bladder?	It is located immediately behind the pubis symphysis.
It is located immediately behind the pubis symphysis.	Where is the urinary bladder?
How much urine does the average adult form each day?	They form 1.5 to 2L of it each day.
They form 1.5 to 2L of it each day.	How much urine does the average adult form each day?
How much blood circulates through the kidneys daily?	c. 1,500 L of blood flows through them daily.
c. 1,500 L of blood flows through them daily.	How much blood circulates through the kidneys daily?
What lines the abdominal cavity?	The parietal peritoneum lines it.
The parietal peritoneum lines it.	What lines the abdominal cavity?
What lines the organs themselves?	The visceral peritoneum lines them.
The visceral peritoneum lines them.	What lines the organs themselves?
What is peritonitis?	This is irritation of the peritoneum.
This is irritation of the peritoneum.	What is peritonitis?
What is ileus?	This is paralysis of the muscular contractions that normally propel material through the intestines. It can lead to abdominal distention.
This is paralysis of the muscular contractions that normally propel material through the intestines. It can lead to abdominal distention.	What is ileus?
What is emesis?	Vomiting caused by paralysis in the intestines.
Vomiting caused by paralysis in the intestines.	What is emesis?
How do you gauge the degree of distention in a patient?	To do this, simply look at the patient's abdomen.
To do this, simply look at the patient's abdomen.	How do you gauge the degree of distention in a patient?
What else is also associated with peritonitis?	It is also associated with a loss of body fluid into the abdominal cavity. This fluid shift decreases the volume of circulating blood and may lead to decreased blood pressure or even shock.
It is also associated with a loss of body fluid into the abdominal cavity. This fluid shift decreases the volume of circulating blood and may lead to decreased blood pressure or even shock.	What else is also associated with peritonitis?
If a patient has peritonitis that has progressed, what will they present with?	In this case, they will present with tachycardia and hypotension.
In this case, they will present with tachycardia and hypotension.	If a patient has peritonitis that has progressed, what will they present with?
What can parietal peritoneum nerves sense?	They can sense pain, touch, pressure, heat, and cold, and can easily localize pain.
They can sense pain, touch, pressure, heat, and cold, and can easily localize pain.	What can parietal peritoneum nerves sense?
