#separator:tab
#html:false
What are compounds	Compounds contain two or more different elements chemically combined in a fixed proportion
How do compounds differ from their elements	Compounds usually have totally different properties to the elements that they come from
What is a mixture	In a mixture, there are different elements or compounds not chemically combined togther
How would you separate a mixture	To separte a mixture use physical techniques rather than chemical reactions
How would you separate a compound	To separate a coumpound back into its elements, a chemical reaction is needed
What is a molecule	A molecule has any element chemically joined
What is the periodic table	The periodic table lists all the chemical elements, with eight main groups each containing elements with similar chemical properties
What is the law of covservation of mass	No new atoms are ever created or destroyed in a chemical reaction, the total mass of reactants is equal to the total mass of products
What is filtration	Filtration is used to separate an insoluble solid from a liquid
What is crystallisation	Crystallisation is used to separate a soluble solid from a liquid
What is distillation	Distillation is used to separate a liquid from a solid if we want to keep the liquid
What is paper chromatography	Paper chromatography separates mixtures of substances dissolved in a solvent as they move up a piece of chromatography paper
Why are substances separated in chromatography	The different substances are separated because of their different solubilites in the sovlent used
What is fractional distillation	Fractional distillation is an effective way of separating miscible liquids, using a fractionating column.
Why is fractional distillation possible	The separation is possible because of the different boiling points of the liquids in the mixture
Why don't atoms have an overall charge	Atoms have no overall charge because the number of electrons is the same as the number of protons
How big is the radius of an atom in nanometres and metres	0.1nm or 1 x 10-10m
How big is the radius of the nucleas in metres	1 x 10-14m
What is the mass number of an atom	The number of neutrons and protons in the atom
What is the atomic number of an atom	The atomic number of an atom is the number of protons or electrons
What is the relative mass of a proton and neutron	1
What are isotopes	Isotopes are atoms of the same element with different numbers of neutrons. They have the identical chemical properties, but their physical properties, such as density, can differ
What is relative atomic mass	The relative atomic mass is the average of the mass numbers of different isotopes
Equation of Relative Atomic Mass	RAM = (mass number x abudance) + (mass number x abudance) / 100
How many electrons can be held in the first, second, third and fourth energy shells	Two in the first, eight in the second and third and 18 in the fourth
How are electrons arranged in an atom	The electrons in an atom are arranged in energy shells, which orbit the nucleas
What determines the chemical properties of an element	The number of energy shells and the number of electrons on the outermost shell determines the chemical propertes of an element
What was discovered in 1897 and by who	Thomson discovered that atoms contain tiny negative particles, and called it an electron
What happened to most of the alpha particles during the alpha scattering experiment and what did this show	Most of the alpha particles went straight through the gold atoms therefore atoms are mainly space
What did the deflected alpha particles in the alpha-scattering experiment show scientist	That the centre of an atom must have a positive charge, since the alpha particles that come close are repelled and change direction
What did the alpha particles that bounced straight back in the alpha-scattering experiment show scientist	Sometimes an alpha particle bounced straight back which means that the centre of an atom must contain a great deal of mass, this is now called the nucleas
Who discovered the neutron	James Chadwick discovered the nucleas also contains neutral particles called neutrons
Why was the periodic table of elements developed	The periodic table of elements developed as chemists tried to classify the elements, it arranges them in an order so simmilar elements are grouped together
Why is it called the periodic table of elements	It is named the periodic table of elements because of the regularly repeating patterns in the properties of elements
Why were there gaps in Mendeleev's periodic table	Mendeleev's periodic table left gaps for the unknown elements, which when discovered matched his predictions.
What is similar about elements in the same group	All the elements in a group have simmilar chemical properties. This is because all elements in a group have the same number of electrons in their outer energy level.
How did Dobereiner group the elements	Dobereiner group the elements in traids that had simmilar chemical properties
How did Newland group elements	Newland grouped elements in octaves and arrange elements in order of atomic mass so that every eighth element has similar chemical properties
What differences are there between the Mendeleev's and the modern periodic table	Element are now arranged in order of atomic number instead of atomic mass which beacuse elements could appear in the wrong order due to isotopes. Group 0 was not fully discovered during Mendeleev's time
Why are the noble gases unreactive	The noble gases in Group 0 are unreactive because of their very stable electron arrangement, a full outer shell
What is the boiling point trend of the noble gases	The boiling point increases as the relative atomic masses increase, going down the group
Why do metals react	Metals react to lose electrons to achieve a full outer energy level which gives them the same electronic structure as a noble gas. Metals always form positive ions
What are the elements in group one called	The elements in Group 1 of the periodic table are called the alkali metals.
What is the boiling point trend of the alkali metals	Their melting or boiling points decrease going down the group
What is the reactivity trend of the alkali metals	The reactivity of the alkali metals increases going down the group
Equation of alkali metals reacting with water	Metal(s) + Water(l) = Metal hydroxide(aq) + Hydrogen(g)
How do the alkali metals react with water	The metals all react with water to produce hydrogen and an alkaline solution containing the metal hydroxide
What ions do the alkali metals produce in reactions	They form 1+ ions in reactions to to make ionic compounds. These are generally white and disslove in water, giving colourless solutions
What charge do the halogens form with metals	The halogens all form ions with a single negative charge in their ionic compounds with metals
How do halogens bond with other non-metals	The halogens form covalent compounds by sharing electrons with other non-metals
What can a more reactive halogen do to a less reactive halogens	A more reactive halogen can displace a less reactive halogen from a solution of it's salt
What is the reactivity trend of the halogens	The reactivity of the halogens decreases going down the group
What is the boiling point trend of the halogens	The melting and boiling points increase going down the group
What are the three factors to include when writing about reactivity trends	The size of the atom, the number of occupied energy shells, which provide a shielding effect and the nuclear charge
Explain the reactivity trend for Group 1 metals	The reactivity increases going down the group because the size of the atom increases, which increases the distance of the outermost negatively charged electron from the positively charged nucleus which reduces the electrostatic forces of attraction. The inner shells create a shielding effect which also reduces the electrostatic forces of attraction. This outwieighs the increased nuclear charge due to the extra protons in the nucleus and therefore electrons are easier to lose going down the group and the elements are more reactive
Explain the reactivity trend for Group 7 non-metals	The reactivity decreases going down the group because the size of the atom increases, which increases the distance between the outermost negatively charged electrons from the positively charged nucleus which reduces the electrostatic forces of attraction. The inner shells create a shielding effect which also reduces the electrostatic forces of attraction.This outwieighs the increased nuclear charge due to the extra protons in the nucleus and therefore electrons are harder to gain going down the group and the elements are less reactive.
Compare properties between the alkali metals and the transition metals	Compared with the alkali metals, transition metals have higher melting points and densites. They are also much stronger and harder but are much less reactive.
How do the transition elements react with oxygen or water	The transition elements do not react vigorously with oxygen or water
What ions do transition elements form	Transition elements can form different ions with different charges, in compounds that are often coloured
How are transition elements used industrially	Transition elements and their compounds are important industrial catalyst.
What are the three states of matter	The three states of matter are solids, liquids and gases
Describe the particles of a solid	The particles in a solid are packed closely together, in a regular pattern and vibrate around fixed position, they are also hard to compress
Describe the particles in liquid	The particles in a liquid are close together but can slide over each other in random motion, they are hard to compress and take the shape of the container
