#separator:tab
#html:false
Painful genital lesion	Herpes, chancroid
Giant Cell Pneumonia	Measles in an immunocompromised – no rash
Non-itchy Rash	Measles, Dengue
Bull Neck	Cornybacterium diphtheria
Grey pharynx	Cornybacterium diphtheria
Raw shellfish	Vibrio, norovirus
Negri Body	Rabies
Slap-cheek syndrome	Parvovirus B19
Nuclear inclusions	Adenovirus
Amantadine	M2 = uncoat
Tamiflu	NA = release
Aspirin to kids problem	Reye’s syndrome
Tegument layer	Herpesvirus
Unilateral rash, 1 dermatome	Zoster from varicella zoster virus
Mononucleosis-like w/o sore throat	CMV
Mononucleosis-like w/ worst sore throat	EBV
Oral hairy leukoplakia	EBV in AIDS patients (complication)
Atypical lymphocytes	EBV, CMV
Post-Tx lymphoproliferative disorder (PTLD)	EBV
Fulminant Hepatitis	HAV, hepatitis A virus
DNA viral genome + RT enzyme	HBV, hepatitis B virus
Koplik’s spots	Measles
Subacute sclerosing paraencephalitis (SSPE)	Measles
Orchitis / oophoritis	Mumps
Bullet-shaped virus	Rabies
Basal ganglia swelling	WNV, west nile virus
Croup	Parainfluenza virus, laryngotrachealbronchitis
RSV infant antiviral	Ribavirin
Focal encephalitis	HSV-1
Right Upper Quadrant Pain	Hepatitis
Conjunctivitis, most common	Adenovirus (pink eye), others = GC, CT, H.flu,
Viral Diarrhea	Rotavirus, adenovirus, astrovirus, norovirus
Viral Lower Resp. Infection	RSV,Adenovirus,Parainfluenza,Influenza,
Viral CNS infection	WNV, HSV-1, Enterovirus, Rabies
Rash causing viruses	Measles, Rubella, VZV, Parvovirus B19, HHV-6 Roseola
Respiratory Spread	VZV, Adenovirus, RSV, Rhinovirus
Hematogenous spread	VZV, HBV, HepB
Fecal-oral spread	Norovirus, Adenovirus, HAV-hepatitis A virus
Sexual Spread	HPV, HBV
Bird reservoir	WNV, west nile virus
Liver transplant	HCV, hepatitis C virus
Congenital hearing loss	CMV, Rubella
Summer meningitis, teenagers	Non-polio enterovirus
Pharyngoconjunctival Fever	Adenovirus – no exudate
Roseola	HHV-6
Lymphadenopathy, posterior auricular, suboccip	Rubella
Ganciclovir	CMV
Infant respiratory infection	RSV
Inhaling rodent feces	Hantavirus
Acute hemolytic anemia	Parvovirus B19
Nucleocapsid	RSV
Trigeminal Nerve	HSV-1
Dane Particles	HBV, hepatitis B virus
Epidemic gastroenteritis	Norwalk or norovirus
Acyclovir	VZV, HSV
Aplastic crises	Parvovirus B19
HAV symptoms w/o HAV	HEV
Westà East spread	Rotavirus
Naked, dsDNA genome	HPV, Adenovirus
Enveloped, dsDNA genome	HSV, VZV, CMV, EBV
Enveloped, -ssRNA genome	Orthomyxovirus, RSV, hMPV, rabies, parainfluenza, Measles, Mumps (Ebola, hanta)
Naked, +ssRNA genome	Rhinovirus, HAV, Enteroviruses, Norovirus, sapovirus, astrovirus
Enveloped, +ssRNA genome	Coronavirus, rubella, WNV , HCV
Genomes with RT enzyme, enveloped	HIV = +ssRNA, HBV = dsDNA
Naked, ssDNA genome	Parvovirus B19
Naked, dsRNA genome	Rotavirus (segmented)
Naked Viruses	HPV, adeno, rhino, HAV, entero, noro, sapo, astro, Parvo, rota
Enveloped Viruses	HSV, VZV, CMV, EBV, Orthomyxo, RSV, hMPV, rabies, parainfluenza, Measles, Mumps
Icosahedral Viruses	Adeno, VZV, CMV, EBV
Lower Resp. Infection in babies	"RSV=#1, Parainfelunza=#2"
Exudative pharyngitis	Adenovirus
SARS	Coronavirus
Severe bronchiolitis	hMPV
Tzanck Smear	HSV
Blood transfusion infection	CMV
Ultimate B cell Parasite	EBV
Monospot test	EBV
Vitamin A deficient infection	Measles
Centrifugal rash	Measles
PEG-IFN	Rx for HCV (+ribavirin)
Fetal Hydrops	Parvovirus B19
Hand, Foot and Mouth Syndrome	Coxsackievirus A16 (non-polio enterovirus)
Pentavalent Vaccine	Rotateq
Guillan Barre Mimicking	WNV
Persistant IgM	WNV
Coreceptor Switch	HIV (CCR5 à CXCR4)
