#separator:tab
#html:false
Genus_cof_DNP	back_card
Wikstroemia	Plantae - Tracheophyta - Magnoliopsida - Malvales - Thymelaeaceae     https://www.gbif.org/species/3188473     https://en.wikipedia.org/wiki/Wikstroemia     https://www.merriam-webster.com/dictionary/Wikstroemia
Pulsatilla	Plantae - Tracheophyta - Magnoliopsida - Ranunculales - Ranunculaceae     https://www.gbif.org/species/3033620     https://en.wikipedia.org/wiki/Pulsatilla     https://www.merriam-webster.com/dictionary/Pulsatilla
Saussurea	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/2752681     https://en.wikipedia.org/wiki/Saussurea     https://www.merriam-webster.com/dictionary/Saussurea
Bupleurum	Plantae - Tracheophyta - Magnoliopsida - Apiales - Apiaceae     https://www.gbif.org/species/3034551     https://en.wikipedia.org/wiki/Bupleurum     https://www.merriam-webster.com/dictionary/Bupleurum
Pinus	Plantae - Tracheophyta - Pinopsida - Pinales - Pinaceae     https://www.gbif.org/species/2684241     https://en.wikipedia.org/wiki/Pinus     https://www.merriam-webster.com/dictionary/Pinus
Trachelospermum	Plantae - Tracheophyta - Magnoliopsida - Gentianales - Apocynaceae     https://www.gbif.org/species/3169711     https://en.wikipedia.org/wiki/Trachelospermum     https://www.merriam-webster.com/dictionary/Trachelospermum
Carissa	Plantae - Tracheophyta - Magnoliopsida - Gentianales - Apocynaceae     https://www.gbif.org/species/3169761     https://en.wikipedia.org/wiki/Carissa     https://www.merriam-webster.com/dictionary/Carissa
Phenax	Plantae - Tracheophyta - Magnoliopsida - Rosales - Urticaceae     https://www.gbif.org/species/3234522     https://en.wikipedia.org/wiki/Phenax     https://www.merriam-webster.com/dictionary/Phenax
Amberboa	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/3122163     https://en.wikipedia.org/wiki/Amberboa     https://www.merriam-webster.com/dictionary/Amberboa
Daphne	Plantae - Tracheophyta - Magnoliopsida - Malvales - Thymelaeaceae     https://www.gbif.org/species/3188453     https://en.wikipedia.org/wiki/Daphne     https://www.merriam-webster.com/dictionary/Daphne
Taiwania	Plantae - Tracheophyta - Pinopsida - Pinales - Cupressaceae     https://www.gbif.org/species/2684131     https://en.wikipedia.org/wiki/Taiwania     https://www.merriam-webster.com/dictionary/Taiwania
