#separator:tab
#html:false
Widal test detects the presence of antibodies against [pathogen]	Widal test detects the presence of antibodies against Salmonella typhi
[...] is characterized by abdominal pain, constipation, cramps, and stools with excess mucous and blood clots.	Amoebiasis is characterized by abdominal pain, constipation, cramps, and stools with excess mucous and blood clots.
The antigen binding region of the antibody is known as the [...].	The antigen binding region of the antibody is known as the Fab region.  Fab = fragment of antigen binding
[...] cells mediate cell-mediated immunity (CMI).	T-lymphocytes cells mediate cell-mediated immunity (CMI).
Which class of immunoglobin acts as a mediator in allergic response?	IgE (immunoglobin epsilon) antibodies
Which autoimmune disease is caused by the attack of antibodies on the myelin sheath of nerve cells?	Multiple sclerosis (MA)
The ability of the body to differentiate between self and non-self is mediated by [...].	The ability of the body to differentiate between self and non-self is mediated by T-lymphocytes.  This type of response is known as cell-mediated response (CMI).
infectious stage of Plasmodium	sporozoites
sexual stage of Plasmodium	gametocytes
Wuchereria is transmitted from an infected person to a healthy person through [...].	Wuchereria is transmitted from an infected person to a healthy person through biting of female Culex mosquito vector.
Parasites which live inside the body of host organisms are called [...]. The examples include [...] and liverfluke.	Parasites which live inside the body of host organisms are called endoparasites. The examples include tapeworm and liverfluke.
factors affecting health	genetic disorders, infections, life style
definition of health	state of complete physical, mental, and social well-being
ways to ensure good health	balanced diet personal hygiene regular exercise awareness about diseases vaccination proper disposal of wastes control of vectors
Diseases can be broadly grouped into [...] and [...] diseases.	Diseases can be broadly grouped into congenital and acquired diseases.
types of acquired diseases	infectious diseases and non-infectious diseases
definition of disease	condition when the functioning of one or more organ systems of the body is adversely affected, characterized by the appearence of various signs and symptoms
definition of pathogen	organisms that enter the body through various means, multiply, interfere with normal vital activities, and cause morphological and functional damage to the human body
Pathogens belong to [...], [...], [...], [...], and [...].	Pathogens belong to bacteria, viruses, fungi, protozoans, and helminths.
Typhoid is caused by [pathogen].	Typhoid is caused by Salmonella typhi.
Typhoid is transmitted through [...].	Typhoid is transmitted through contaminated food and water.
Salmonella typhi infects the [part of body].	Salmonella typhi infects the small intestine.
symptoms of typhoid	sustained high fever (39C-40C) weakness headache loss of appetite stomach pain constipation
Severe cases of typhoid show [...] and may lead to [...].	Severe cases of typhoid show intestinal perforations and may lead to death.
confirmatory test for typhoid	Widal test
pathogens causing pneumonia	Streptococcus pneumoniae, Haemophilus influenzae
Pneumonia is transmitted through [...], [...], and [...].	Pneumonia is transmitted through droplets, aerosols, and contaminated surfaces.
site of infection of pneumonia	alveoli
common symptoms of pneumonia	fever, chills, cough, headache
