#separator:tab
#html:false
H	hydrogen
hydrogen	H
He	helium
helium	He
Li	lithium
lithium	Li
Be	beryllium
beryllium	Be
B	boron
boron	B
C	carbon
carbon	C
N	nitrogen
nitrogen	N
O	oxygen
oxygen	O
F	fluorine
fluorine	F
Ne	neon
neon	Ne
Na (latin)	natrium
natrium	Na (latin)
Na	sodium
sodium	Na
Mg	magnesium
magnesium	Mg
Al	aluminum
aluminum	Al
Si	silicon
silicon	Si
P	phosphorus
phosphorus	P
S	sulfur
sulfur	S
Cl	chlorine
chlorine	Cl
Ar	argon
argon	Ar
K (latin)	kalium
kalium	K (latin)
K	potassium
potassium	K
Ca	calcium
calcium	Ca
Ti	titanium
titanium	Ti
V	vanadium
vanadium	V
Cr	chromium
chromium	Cr
Mn	manganese
manganese	Mn
Fe (latin)	ferrum
ferrum	Fe (latin)
Fe	iron
iron	Fe
Co	cobalt
cobalt	Co
Ni	nickel
nickel	Ni
Cu (latin)	cuprum
cuprum	Cu (latin)
Cu	copper
copper	Cu
Zn	zinc
zinc	Zn
Ga	gallium
gallium	Ga
Ge	germanium
germanium	Ge
As	arsenic
arsenic	As
Br	bromine
bromine	Br
Kr	krypton
krypton	Kr
Sr	strontium
strontium	Sr
Zr	zirconium
zirconium	Zr
Ag (latin)	argentum
argentum	Ag (latin)
Ag	silver
silver	Ag
Cd	cadmium
cadmium	Cd
Sn (latin)	stannum
stannum	Sn (latin)
Sn	tin
tin	Sn
Sb (latin)	stibium
stibium	Sb (latin)
Sb	antimony
antimony	Sb
I	iodine
iodine	I
Xe	xenon
xenon	Xe
Ba	barium
barium	Ba
W (german)	wolfram
wolfram	W (german)
W	tungsten
tungsten	W
Ir	iridium
iridium	Ir
Au (latin)	aurum
aurum	Au (latin)
Au	gold
gold	Au
Hg (latin)	hydrarguyrum
hydrarguyrum	Hg (latin)
Hg	mercury
mercury	Hg
Pb (latin)	plumbum
plumbum	Pb (latin)
Pb	lead
lead	Pb
Bi	bismuth
bismuth	Bi
Ra	radium
radium	Ra
U	uranium
uranium	U
