#separator:tab
#html:false
Scleritis: Commonly associated with	RA
Most common ocular finding of RA:	KCS
BAND KERATOPATHY: Associated with	JIA
Bowman’s condition which leads to ____ deposits in this layer	calcium
Band Keratopathy	Dry eye, gout, hypercalcemia (too much calcium) aka increase in parathyroid, uveitis
Reis Buckler’s	Bowman's
STROMAL condition; bilateral gray-white polygonal stromal opacities they MAY involve bowman	Crocodile Shagreen:
initial damage occurs in BOWMAN's but in advanced stage may present corneal hydrops due to Descemet's	KCN:
Rhinophyma, telangiectasia, facial flushing (malar or butterfly rash)	ACNE/OCULAR ROSACEA:
Unilateral + respects the dermatome (does NOT cross the midline)PseudodendritesTingling on forehead, malaise, and fever (prodrome)Hutchinson’s sign (vesicles on nose)UveitisTrabeculitisAcute retinal necrosis	Herpes Zoster
20 yo diagnosed with HZO → must evaluate for _____	HIV
Vesicles found on the upper eyelid → what does the patient have?	Primary ocular HSV
Bergmeister’s papilla: Remnant of hyaloid artery on the ____	optic disc
Mittendorf’s dot: Remnant of hyaloid artery on the _____	posterior lens capsule
Epicapsular star: Located on ___________- Remnant of the epicapsular stars is tunica vasculosa lentis	anterior lens capsule
Adhesion of anterior vitreous/post zonules/lens	Weiger’s ligament:
Berger’s space: anterior hyaloid and posterior lens capsule	ANTERIOR HYALOID:
Steroids cause	PSC cataracts
PSEUDOXANTHOMA ELASTICUM:	Angioid streaks
Divided into orbital and palpebral portion by the tendon of the superior levator palpebral	LACRIMAL GLAND
Muscle that help drains tears medially—	orbic oculi
What is lined by an endothelium:	posterior surface of cornea
Girl from seasonal allergies + rubs eyes which comes in with an uneven lid crease?	levator aponeurosis (acquired)
Lower leg weakness due to	ANTERIOR CEREBRAL ARTERY
Anterior chamber volume:	250 uL
Inferior SPK:	Lagophthalmos, thyroid, entropion, trichiasis, FES
Which uveitis would NOT need to be cultured to help you diagnose?	Bilateral gran, bilateral non gran, uni gran, uni non gran
Which section of MRI scan shows the complete pathway of the optic nerve?	Axial cut
Histoplasmosis triad:	Multifocal histo spots (chorioretinal punched out lesions)Peripapillary atrophyMaculopathy (CNVM)
Which is not on the lateral wall of cavernous sinus?	CN 6 aka abducens nerve
Initially damages Bowman’s membrane, stromal thinning, progressive, typically bilateral	KCN signs:
Brown pigment horizontal on inferior 1/3 of cornea and between limbus…	Hudson-Stähli line or Fleischer ring
Corneal scar is mostly made of….	keratin sulfate
59 year old with accident and had corneal scar... in 10 years is this sensory strab or deprivational amblyopia?	sensory strab
Yellowish ring:	Kayser-Fleishcher ring (copper) seen in Wilson’s diseaseWilson’s disease aka hepatolenticular
