#separator:tab
#html:false
What is a habitat	The place where an organism lives
What is a population	All the organisms of one species living in a habitat
What is a community	The populations of different species living in a habitat
What is an abiotic factor	A non living factor of the environment eg. Temperature
What is a biotic factor	A living factor of the environment eg. Food
What is an ecosystem	The interaction of a community of living organisms with the non living parts of their environment
What do organisms compete for	Plants - light, space, water and mineral ions from the soil Animals - space (territory), food, water, mates
What is interdependence	In a community, each species depends on other species for things such as food, shelter, pollination and seed dispersal - this is called interdependence
Why does a change in an environment have knock on effects	The interdependence of all living things in an ecosystem means any major change in the ecosystem, such as a species dying out, will have far reaching effects.
What are stable communities	Communities where all the species and environmental factors are in balance so that the population sizes are roughly constant (they may go up and down in cycles). For example tropical rainforests and ancient oak woodlands.
Give examples of abiotic factors	Moisture level Light intensity temperature carbon dioxide level (for plants) wind intensity and direction oxygen level (for aquatic animals) soil pH and mineral content
Give examples of biotic factors	New predators arriving Competition - one species may out compete and replace another new pathogens Availability of food
What are adaptations	Features or characteristics that allow an organism to survive
What are structural adaptations	Features of an organism's body structure such as shape or colour
What are behavioural adaptations	Ways that an organism behaves eg. migrating to warmer climates in the winter
What are functional adaptations	features affecting what goes on inside the organism's body that can be related to processes like reproduction and metabolism.
What are extremophiles	Microorganisms that are adapted to live in very extreme conditions such as high temperature, pressure or salt concentration. eg. Bacteria living in deep sea vents
What are food chains	Diagrams which represent feeding relationships in a community All food chains start with a producer which synthesizes molecules. This is usually a green plant or algae which makes glucose via photosynthesis. Producers are eaten by primary consumers, which are eaten by secondary consumers which are eaten by tertiary consumers.
What happens in a stable community containing prey and predators	The population of any species is limited by the amount of food available if the population of prey increases, so will the population of predators. This causes the number of prey to decrease, causing the number of predators to decrease. This means the number of prey can once again increase so the cycle repeats itself.
Why are predator prey cycles out of phase with each other	It takes a long time for one population to respond to changes in the other population
What is the distribution of an organism	Where that organism is found within its habitat. Environmental factors affect the distribution of organisms
How do you measure distribution	Measure how common an organism is in two sample areas and compare them Study how distribution changes across an area using a transect
What are quadrats	A quadrat is a square frame enclosing a known area eg. 1 m squared.
How do you measure distribution with quadrats	To measure distribution with quadrats, place quadrats at random points in two sample areas, count all the organisms in the quadrats, and work out the mean organisms per quadrat for each area Compare the two means
How do you work out the population of an organism in an area using quadrats	Use quadrats to randomly sample parts of the area Calculate a mean value of number of organisms per metre squared Multiply by total area
What are transects	Transects can be used to study the distribution of organisms. They are lines with quadrats placed at intervals along the line
How do you measure distribution with a transect	Lay out a line in the area you want to study using a tape measure. Then place quadrats at regular intervals eg. every metre along the line. Count the organisms in each quadrat and compare results as you go along the line
What do you do if you cannot count all the organisms in a quadrat	You can estimate percentage cover of a quadrat by that organism eg by overlaying a grid of squares on the quadrat and counting how many squares are filled by the organism
What environmental changes can affect distribution	Temperature Water availability Composition of atmospheric gases These can be caused by seasonal factors, geographic factors or human interaction
Describe the water cycle	Energy from the sun causes water to evaporate from the land and sea, turning it into water vapour. water also evaporates from plants in transpiration The warm water vapour is carried upwards then cools and condenses into clouds water falls from the clouds as precipitation onto land, where it provides fresh water for plants and animals It then drains into the sea, and the process restarts
Describe the carbon cycle	-Carbon dioxide is removed from the atmosphere by green plants and algae during photosynthesis. This carbon is used to make glucose, which is turned into carbohydrates, fats, cellulose and proteins -When plants and algae respire, some carbon is returned to the atmosphere as carbon dioxide -When plants and algae are eaten by animals, some carbon becomes part of fats and proteins. the carbon then moves through the food chain. -When animals respire, some carbon is returned to atmosphere as carbon dioxide -When plants, animals and algae die, animals and microorganisms feed on their remains. When these organisms respire, carbon is returned to the atmosphere. -Animals also produce waste that is broken down by animals and microorganisms -The combustion of wood and fossil fuels releases carbon dioxide back into the atmosphere -This means the carbon is constantly being cycled
Describe the cycle of decay	-Compounds and elements that plants/animals need to survive are passed up the food chain -these materials are returned to the environment as waste products, or when the organisms die and decay -Materials decay when they are digested by microorganisms -Decay returns these compounds and elements back to the soil -In a stable community, the materials taken out from the soil are balanced by the materials put back in.
What is decay	Decay is the breaking down (decomposition) of plant and animal material and waste by microorganisms.
What factors affect the rate of decay (and are needed for decay to take place)	Temperature Moisture Oxygen Decay organisms (microorganisms/detritus feeders)
What is compost	Compost is decomposed organic matter that is used as natural fertiliser for crops and garden plants
What is biogas	Biogas is gas produced by anaerobic decay of waste material Most biogas is methane
How is biogas made	Biogas is made in a simple fermenter called a digester or generator Biogas generators need to be kept at a constant temperature Biogas cannot be stored as a liquid (it needs too high a pressure) so must be used straight away
What are the two types of biogas generators	Continuous generators make biogas all the time. Waste is continuously fed in and biogas is produced at a steady rate. Batch generators make biogas in small batches. They are manually loaded up with waste which is left to digest, and byproducts are cleared away after each session. Both generators need an inlet for waste material to be put in, an outlet for digested material to be removed through and an outlet so the biogas can be piped to wherever needed.
What is biodiversity	The variety of different species of organisms on earth or within an ecosystem
Why is a high biodiversity important	It ensures that ecosystems are stable by reducing the dependence of one species on another for food, shelter and the maintenance of the physical environment
What human activities are reducing biodiversity and why is this bad	For the human species to survive it is important that a good level of biodiversity is maintained. Lots of human actions including waste production, deforestation and global warming are reducing biodiversity. However, its only recently that we have started taking measures to stop this from continuing.
Why is earth's population rising	Modern medicine and farming methods have reduced the number of people dying from disease and hunger.
What does the increasing population do to the environment	More raw materials and energy are used to make products for the increasing amount of people who also demand a higher standard of living. Many raw materials are being used up faster than they are being replaced. More waste is produced too. Unless waste and chemical materials are properly handled, more pollution will be caused.
In what ways can pollution occur	Water pollution - sewage and toxic chemicals from industry can pollute lakes, rivers and oceans, affecting the plants and animals that rely on them for survival. Chemicals used on lands eg. pesticides or fertilisers can be washed into water Land pollution - Toxic chemicals used for farming, nuclear waste buried underground, household waste dumped in landfills. Air pollution - Smoke and acidic gases released into the atmosphere can pollute the air eg. sulfur dioxide causes acid rain
What does pollution do	Pollution can kill plants and animals which can reduce biodiversity
What causes global warming	Greenhouse gases in the atmosphere eg. carbon dioxide and methane act like an insulating layer. They absorb most of the energy that would normally be radiated into space and re radiate some of it back to earth. This increases the earth's temperature. The earth is gradually heating due to increasing levels of greenhouse gases.
What are the consequences of global warming	Sea levels rising - higher temperatures cause seawater to expand and ice to melt, causing sea levels to rise. Low lying places will be flooded if this continues Changes in the distribution of species - As temperatures increase and rainfall changes, species may become more widely distributed or less widely distributed Changes in migration patterns - eg. some birds may migrate further north as more areas get warmer Reduction in biodiversity - Biodiversity could be reduced if some species are unable to survive a change in the climate and become extinct
