#separator:tab
#html:false
Ecosystem	All the organisms living in a habitat and the non-living parts of the habitat.
Competition in ecosystems	Competition will occur between organisms in an ecosystem when their niches overlap, they both try to use the same resource and the resource is in short supply. Animals compete for food, water and space to live. Plants compete for light, water, minerals and root space.
Interdependence	Species rely on eachother for food, shelter, pollination, seed dispersal etc.
Abiotic and Biotic factors.	Abiotic: non living. Biotic: living.
Examples of Abiotic factors:	light intensity, temperature, moisture levels, wind intensity and direction, carbon dioxide levels for plants, soil PH and mineral content.
Examples of Biotic factors:	availabilty of food, new predators arriving, new pathogens/diseases, one species outcompeting another.
Extremophile definition	Organisms that live in environments that are very extreme.
What do decomposers need?	Oxygen, moisture, a suitable temperature and a suitable PH.
How do decomposers break down waste?	By secreting enzymes, which partly digest the waste.
What happens when waste is broken down in anaerobic conditions?	Methane gas is produced.
Carbon cycle, what does it rely on ?	Describes how carbon is recycled in nature. It relies on decomposers to return carbon to the atmosphere as carbon dioxide through respiration.
The water cycle.	Describes how fresh water circulates between living organisms, rivers and the sea.
Name the stages in a food chain.	Producer, primary consumer, secondary consumer, tertiary consumers.
Trophic levels.	Each of the feeding levels (producer, primary, secondary etc) is called a trophic level, represeted by numbers.
Apex predatores.	Carnioveres with no predators.
Biodiversity. Why we need a high biodiversity.	The variety of all different species of organisms on earth.  Because it helps ecosystems become stable as species depend on eachother for food and shelter.
Factors that put biodiversity at risk. What are these factors due too?	Changes in:               Changes due to:  -availabilty of water    -human activity -temperature              -changes in seasons -atmospheric gases   -geographic activity
How does pollution affect biodiversity? Why's this an increasing issue?	Kills animals and plants. Human population is increasing, more pollution.
How overexploitation affects biodiversity?	Humans can take too many resources out of the environment for animals and plants, including destryoing habitats plants and animals live on.
What are peat bogs and why destroying them is bad for environment and biodiversity.	They are a very important store of carbon. We call them carbon sinks. If all the peat was removed and burned this would quickly release a huge volume of carbon dioxide into the atmosphere and contribute to the greenhouse effect. Destroys habitats of organisms too.
Biological consequences of global warming.	-loss of habitat, when low-lying areas of flooded by rising sea levels. -changes to migration patterns of animals. -changes in distribution of animals/plants in areas where temp/rainfall has changed.
Attempts/methods used to conserve biodiversity.	-recycling resources instead of dumping waste  -reducing deforestation and co2 emissions -protecting rare habitats such as coral reefs -setting up breeding programmes for endangered species
Factors affecting food security.	-increasing birth rate. -changing diets in developed countries. -new pests/pathogens affecting agriculture. -changes in weather e.g: drought. -conflict.
What do pyramids of biomass show?	They show the energy flow through ecosystems more clearly than foodchains.
How much % of biomass is stransferred to the level above it (trophic levels/pyramids of biomass0	10%
Losses of biomass are due to:	-some of food taken in being passed out of body via faeces. -large amounts of glucose used in respiration.
Biotechnology. The microorganisms are grown where?	Allows microorgansims to be grown in large quantities of food. Fermenters - industrial sized vents.
The fungus Fusarium is useful for producing Mycoprotein, Mycoprotein characteristics:	-protein-rich -low in fat -high in fibre -suitable for vegetarians
Why are some crops GM (gentically modified) ?	-Provide more food. or -Improved nutritional value.
Homeostatis definiton - Why is it important?	The regulation of the internal conditions of a cell or organism in response to internal and external changes. It's important because it keeps conditions constant for enzymes action and cell functions.
Homeostatis includes the control of ...	-blood glucose concentration -body temp -water and ion levels
All control systems include what?	-cells called receptors (detect stimuli) -coordination centres (recieve and process info from receptors) -effectors (muscle or glands which bring out responses that restore optimum levels)
Negative feedback control mechanism diagram:	The coordinating centre compares the stimulus to a set point. ----->                                                      ^                                                                                                                                                            |                                                                                                      An effector then produces a response                                                     |                                                                                                       to correct any differences from the set                                                          |                                                                               <-------------------  point.                                                  |                                                   |  A receptor detects a change in stimulus.
What does the thermoregulatory centre in the brain do?	-monitors/controls body temps. -has receptors that monitor the temperature of the blood flowing through the skin. -recieves information(impulses) from temperature receptors in the skin.
What does our body do if we are too hot? (body temps too warm)	-vasodilation -more sweat produced by sweat glands and evaporates
What does our body do if it's too cold? (body temp too low)	-vasocontriction, which directs blood away from the surface of the skin. -sweating stops -we shiver (skeletal muscles uncontrollably contract and relax quickly transferring more heat to the blood)
The nervous system:	Enables humans to react to their surroundings and coordinate their behvaiour.
Central nevous system (CNS)  What does the CNS do? examples	Info from receptors is passed to CNS (brain and spinal cord). The CNS coordinates responses of ther effectors, E.g: muscles contracting or glands secreting hormones.
Reflex actions	They are rapid and automatically to provide protection, are done subconsciously.
