#separator:tab
#html:false
Occiptofrontalis ACTION: [...] INNERVATION: CN VII	Occiptofrontalis ACTION: raise forehead and eyebrow INNERVATION: CN VII
Occiptofrontalis ACTION: raise forehead and eyebrow INNERVATION: [...]	Occiptofrontalis ACTION: raise forehead and eyebrow INNERVATION: CN VII
Occiptofrontalis ACTION: [...] INNERVATION: [...]	Occiptofrontalis ACTION: raise forehead and eyebrow INNERVATION: CN VII
Orbicularis Oculi ACTION: [...] INNERVATION: CN VII	Orbicularis Oculi ACTION: close the eye INNERVATION: CN VII
Orbicularis Oculi ACTION: close the eye INNERVATION: [...]	Orbicularis Oculi ACTION: close the eye INNERVATION: CN VII
Orbicularis Oculi ACTION: [...] INNERVATION: [...]	Orbicularis Oculi ACTION: close the eye INNERVATION: CN VII
Zygomaticus Minor ACTION: [...] INNERVATION: CN VII	Zygomaticus Minor ACTION: elevate the upper lip INNERVATION: CN VII
Zygomaticus Minor ACTION: elevate the upper lip INNERVATION: [...]	Zygomaticus Minor ACTION: elevate the upper lip INNERVATION: CN VII
Zygomaticus Minor  ACTION: [...] INNERVATION: [...]	Zygomaticus Minor  ACTION: elevate the upper lip INNERVATION: CN VII
Zygomaticus Major ACTION: [...] INNERVATION: CN VII	Zygomaticus Major ACTION: big grin INNERVATION: CN VII
Zygomaticus Major ACTION: big grin INNERVATION: [...]	Zygomaticus Major ACTION: big grin INNERVATION: CN VII
Zygomaticus Major ACTION: [...] INNERVATION: [...]	Zygomaticus Major ACTION: big grin INNERVATION: CN VII
Orbicularis Oris ACTION: [...] INNERVATION: [...]	Orbicularis Oris ACTION: press lips together INNERVATION: CN VII
Orbicularis Oris ACTION: press lips together INNERVATION: [...]	Orbicularis Oris ACTION: press lips together INNERVATION: CN VII
Orbicularis Oris ACTION: [...] INNERVATION: CN VII	Orbicularis Oris ACTION: press lips together INNERVATION: CN VII
Risorius ACTION: draw back mouth INNERVATION: [...]	Risorius ACTION: draw back mouth INNERVATION: CN VII
Risorius ACTION: [...] INNERVATION: CN VII	Risorius ACTION: draw back mouth INNERVATION: CN VII
Risorius ACTION: [...] INNERVATION: [...]	Risorius ACTION: draw back mouth INNERVATION: CN VII
Platysma ACTION: [...] INNERVATION: CN VII	Platysma ACTION: facial expression INNERVATION: CN VII
Platysma ACTION: facial expression INNERVATION: [...]	Platysma ACTION: facial expression INNERVATION: CN VII
Platysma ACTION: [...] INNERVATION: [...]	Platysma ACTION: facial expression INNERVATION: CN VII
